X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-6.728065013885498047e-01;2.399617195129394531e+00;-1.290053594857454300e-02;2.492187500000000000e+00;4.379000000000000000e+03;1.290000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320190720e+18
-6.895051598548889160e-01;2.394872426986694336e+00;-1.292445138096809387e-02;2.492187500000000000e+00;4.315000000000000000e+03;1.300000000000000000e+02;0.000000000000000000e+00;2.000000000000000000e+00;1.682415573320197376e+18
-7.083639502525329590e-01;2.397509574890136719e+00;-1.298892870545387268e-02;2.500000000000000000e+00;4.366000000000000000e+03;1.310000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320204032e+18
-7.227612733840942383e-01;2.385046482086181641e+00;-1.297222543507814407e-02;2.492187500000000000e+00;4.366000000000000000e+03;1.320000000000000000e+02;0.000000000000000000e+00;2.000000000000000000e+00;1.682415573320210688e+18
-7.419561743736267090e-01;2.387327194213867188e+00;-1.303728669881820679e-02;2.500000000000000000e+00;4.366000000000000000e+03;1.330000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320217344e+18
-7.586038708686828613e-01;2.382089376449584961e+00;-1.305779069662094116e-02;2.500000000000000000e+00;4.340000000000000000e+03;1.340000000000000000e+02;0.000000000000000000e+00;3.000000000000000000e+00;1.682415573320224000e+18
-7.775764465332031250e-01;2.384182453155517578e+00;-1.311824470758438110e-02;2.507812500000000000e+00;4.327000000000000000e+03;1.350000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320230912e+18
-7.966344952583312988e-01;2.386120319366455078e+00;-1.317884307354688644e-02;2.515625000000000000e+00;4.417000000000000000e+03;1.360000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320237824e+18
-8.132117986679077148e-01;2.380521297454833984e+00;-1.319855079054832458e-02;2.515625000000000000e+00;4.417000000000000000e+03;1.370000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320244480e+18
-8.298192024230957031e-01;2.374783039093017578e+00;-1.321771927177906036e-02;2.515625000000000000e+00;4.379000000000000000e+03;1.380000000000000000e+02;0.000000000000000000e+00;3.000000000000000000e+00;1.682415573320251392e+18
